Pathways,Reactions,Reaction Names,Formula,grRules,
Leukotriene metabolism,MAR04796,leukotriene-C4 hydrolase,MAM02016c  <=> MAM02016l ,ENSG00000099998 or ENSG00000100031 or ENSG00000100121 or ENSG00000131067 or ENSG00000133475 or ENSG00000167741 or ENSG00000274252,
Eicosanoid metabolism,MAR08557,,MAM02038c  <=> MAM02038l ,ENSG00000073756 or ENSG00000095303,
Eicosanoid metabolism,MAR08558,,MAM02016l + MAM02040l  -> MAM02038l + MAM02751l ,ENSG00000073756 or ENSG00000095303,
Acyl-CoA hydrolysis,MAR00154,,MAM02630c + MAM02818c  -> MAM02041c + MAM02814c ,ENSG00000097021 or ENSG00000119673 or ENSG00000123130 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00189,,MAM02348c + MAM02973m  <=> MAM02348m + MAM02973c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00193,,MAM01597m + MAM02973m  <=> MAM02348m + MAM02495m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00197,,MAM01802m + MAM02678m  -> MAM00051m + MAM01803m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00201,,5 MAM01597m + 4 MAM01802m + 5 MAM02040m + 5 MAM02552m + MAM03791m  -> 5 MAM01261m + 4 MAM01803m + 5 MAM02039m + 5 MAM02553m + MAM02644m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00206,,MAM01371c + MAM02817c  -> MAM01285c + MAM02039c + MAM02818c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00210,,MAM01442e + MAM02360e + 2 MAM02519e  -> MAM01442c + MAM02360c + 2 MAM02519c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00214,,3 MAM02147e + MAM02985c  -> 3 MAM02147c + MAM02985e ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00223,palmitoyl-CoA hydrolase,MAM01588c + MAM02039c + MAM02658m  -> MAM01588m + MAM02039m + MAM02658c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00230,,MAM01442e + 2 MAM02046c  -> MAM01442c + 2 MAM02046e ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00234,,MAM01696c + 2 MAM02630c  -> MAM02791c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00238,,MAM02785c  <=> MAM02793c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00242,,2 MAM02039c + MAM02791c  <=> MAM02040r + MAM02793c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00246,,MAM02914c + MAM03103m  -> MAM01690c + MAM03102m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00250,stearoyl-CoA hydrolase,MAM02142m + MAM02552m  -> MAM00900m + MAM02039m + MAM02553m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00256,,MAM00799m + MAM02040m  -> MAM01597m + MAM02039m + MAM02142m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00260,,MAM01265m + MAM02040m  <=> MAM00799m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00264,,MAM00670m + MAM02039m + MAM02393m  -> MAM01596m + MAM02899m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00268,,MAM01597m + MAM02899m  -> MAM01701m + MAM01977m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00272,,MAM01833e  -> ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00276,,MAM01371c + MAM02578c + MAM03130c  -> MAM01285c + MAM01623c + MAM02039c + MAM02751c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00280,,MAM02785e  -> ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00284,Icosanoyl-CoA hydrolase,MAM02040c + MAM02460c  <=> MAM01161c + 2 MAM02039c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00290,,MAM02039e + MAM02751e  -> MAM02039c + MAM02751c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00294,,MAM00918m + MAM01306m + MAM02039m  -> MAM00919m + MAM01974m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00298,,MAM00919m + MAM02040m  -> MAM02039m + MAM02819m + MAM02949m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00302,,MAM01371c + MAM02040c + MAM03402c  -> MAM01285c + MAM02039c + MAM02751c + MAM03402e ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00306,,MAM01371c + MAM02040c + MAM03402e  -> MAM01285c + MAM02039c + MAM02751c + MAM03402c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00310,,MAM00265e  -> ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00314,,MAM01191x + MAM01597x + MAM02040x + MAM02552x + MAM02630x  -> MAM01141x + MAM01261x + MAM02039x + MAM02041x + MAM02553x ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00320,,MAM01141x + MAM01597x + MAM02040x + MAM02552x + MAM02630x  -> MAM00088x + MAM01261x + MAM02039x + MAM02041x + MAM02553x ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00324,,MAM01334r + MAM02390r + MAM02759r  <=> MAM01371r + MAM01597r + MAM02389r ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00328,,MAM02786e  -> MAM02786c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00332,,MAM00980m + MAM02630m  -> MAM00678m + MAM02041m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00338,,MAM02034c + MAM02040c  -> MAM02016c + MAM02039c + MAM02759c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00342,,MAM00093c + MAM02348c  <=> MAM00092c + MAM01597c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00346,,MAM01306c + MAM01410e  -> MAM01306e + MAM01410c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00350,,MAM00082m + MAM02552m  -> MAM00883m + MAM02039m + MAM02553m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00354,,MAM00883m + MAM01597m  -> MAM00980m + MAM01261m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00358,,MAM02040m + MAM03021m  -> MAM00082m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00362,"(5Z,8Z,11Z,14Z,17Z)-icosapentaenoyl-CoA hydrolase",MAM00093m + 10 MAM01597m + 5 MAM01802m + 10 MAM02040m + 10 MAM02552m  -> 11 MAM01261m + 5 MAM01803m + 10 MAM02039m + 10 MAM02553m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00366,,MAM01334c + MAM01364c + MAM02759c  <=> MAM01362c + MAM01371c + MAM01597c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00370,,2 MAM00193c + 4 MAM01371c  -> MAM00192c + 4 MAM01285c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00374,,MAM00192c + 4 MAM02040c  -> 2 MAM00193c + 4 MAM02039c + 4 MAM02751c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00378,,MAM02630x + MAM02677x  -> MAM02041x + MAM03020x ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00382,,MAM00118x + MAM02630x  -> MAM02041x + MAM03023x ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00386,,MAM00700m + MAM02552m  -> MAM00840m + MAM02039m + MAM02553m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00390,,MAM00007m + MAM01802m  -> MAM01803m + MAM03012m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00394,,MAM00840m + MAM01597m  -> MAM01261m + MAM02647m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00398,Linoleoyl-CoA hydrolase,MAM02040m + MAM03012m  -> MAM00700m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00402,,MAM02519c + MAM02657c  -> MAM02519e + MAM02657e ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00406,,MAM02657e  -> ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00410,,7 MAM01597m + 7 MAM01802m + 7 MAM02040m + MAM02101m + 7 MAM02552m  -> 7 MAM01261m + 7 MAM01803m + 7 MAM02039m + 7 MAM02553m + MAM02774m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00414,,MAM02039c + MAM02354c  -> MAM01596c + MAM01736c ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00418,,MAM02803c  <=> MAM02803m ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00422,,MAM01362r + 2 MAM02630r  -> MAM02792r ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00426,,2 MAM02039r + MAM02792r  -> MAM02040r + MAM02794r ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00430,,MAM01255x + MAM01597x  <=> 2 MAM01261x ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00434,,MAM01622x + MAM02040x  -> MAM00173x ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Acyl-CoA hydrolysis,MAR00438,,MAM00173x + MAM02552x  -> MAM01255x + MAM02039x + MAM02553x ,ENSG00000097021 or ENSG00000119673 or ENSG00000136881 or ENSG00000177465 or ENSG00000184227 or ENSG00000205669,
Carnitine shuttle (cytosolic),MAR02594,,MAM01412x + MAM02630x  -> MAM01622x + MAM02041x ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02599,palmitoyl-CoA:L-carnitine O-palmitoyltransferase,MAM00916c + MAM02040c  -> MAM02751c + MAM02896c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02602,,MAM00914c + MAM01974c  <=> MAM00916c + MAM01306c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02605,,MAM00913c + MAM02552c  <=> MAM00914c + MAM02039c + MAM02553c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02608,,MAM01364m + 9 MAM01597m + 5 MAM01802m + 9 MAM02040m + 9 MAM02552m  -> 10 MAM01261m + 5 MAM01803m + 9 MAM02039m + 9 MAM02553m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02611,,MAM00630m + MAM01597m  <=> MAM01986m + MAM02944m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02614,,MAM00630m + MAM02039m  -> MAM01074m + MAM01596m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02620,,MAM02039c + MAM02555c + MAM02805c  -> MAM01450c + MAM02554c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02623,,MAM01412m + MAM03103m  -> MAM01622m + MAM03102m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02633,,MAM01986m + MAM02039m + MAM02944m  -> MAM01074m + MAM01596m + MAM01597m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02642,,MAM00093m + MAM01597m + MAM02040m + MAM02552m + MAM02630m  -> MAM00103m + MAM01261m + MAM02039m + MAM02041m + MAM02553m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02648,,MAM02040c + MAM02329c + MAM02552c  -> 2 MAM02039c + MAM02403c + MAM02553c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02651,,MAM01597m + MAM01650m + MAM01802m + MAM02040m + MAM02552m  -> MAM01261m + MAM01803m + MAM02039m + MAM02553m + MAM02644m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02654,,MAM02804c  -> MAM02804m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02657,,MAM02630c + MAM02978c + MAM03101c  -> MAM00965c + MAM02354c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02660,,MAM00965c  -> MAM01698c + MAM02040c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02669,,MAM02348c + MAM03791c  <=> MAM01597c + MAM03790c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02672,,MAM01597m + MAM03790m  <=> MAM02348m + MAM03791m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02675,,MAM03790c  <=> MAM03790m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02678,,2 MAM02039e + MAM02946e  -> 2 MAM02039c + MAM02946c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02681,,MAM01285c + MAM01637c  <=> MAM01371c + MAM01639c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02684,,MAM02344e  -> MAM02344c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02687,,MAM00639c  <=> MAM00640c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02690,,MAM01967c  <=> MAM01968c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02693,,MAM01628e  <=> ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02699,,MAM01442e + 2 MAM02519e + MAM02896e  -> MAM01442c + 2 MAM02519c + MAM02896c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02702,,MAM00108c + MAM02348c  <=> MAM00107c + MAM01597c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02705,,MAM00181x + MAM02552x  -> MAM00858x + MAM02039x + MAM02553x ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02708,,MAM00039x + MAM02040x  -> MAM00181x ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02714,,MAM00858x + MAM01597x  -> MAM01261x + MAM02644x ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02717,,MAM10007c  <=> 0.0004 MAM00004c + 0.0004 MAM00006c + 0.0004 MAM00007c + 0.0004 MAM00009c + 0.0004 MAM00012c + 0.0004 MAM00016c + 0.0004 MAM00018c + 0.0004 MAM00020c + 0.0004 MAM00023c + 0.0004 MAM00025c + 0.0038 MAM00093c + 0.0278 MAM00095c + 0.0004 MAM00101c + 0.0116 MAM00103c + 0.0004 MAM00106c + 0.0025 MAM00108c + 0.0004 MAM00110c + 0.0004 MAM00113c + 0.0004 MAM00116c + 0.0004 MAM00118c + 0.0014 MAM00119c + 0.0059 MAM00121c + 0.0004 MAM00123c + 0.0115 MAM00125c + 0.0004 MAM00127c + 0.0004 MAM00129c + 0.0004 MAM00131c + 0.0004 MAM00134c + 0.0004 MAM00262c + 0.0004 MAM00264c + 0.0004 MAM00317c + 0.0004 MAM00343c + 0.0004 MAM01141c + 0.0004 MAM01191c + 0.0004 MAM01236c + 0.0004 MAM01237c + 0.1083 MAM01364c + 0.025 MAM01586c + 0.0215 MAM01697c + 0.0004 MAM01725c + 0.0004 MAM01773c + 0.0029 MAM01934c + 0.0004 MAM02052c + 0.0004 MAM02101c + 0.0004 MAM02110c + 0.0004 MAM02112c + 0.0004 MAM02345c + 0.0084 MAM02390c + 0.1915 MAM02391c + 0.0133 MAM02495c + 0.0004 MAM02612c + 0.1545 MAM02647c + 0.0219 MAM02677c + 0.222 MAM02678c + 0.0004 MAM02689c + 0.1498 MAM02941c + 0.0004 MAM02971c + 0.0004 MAM03047c + 0.0004 MAM03050c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02720,,4 MAM01597m + 3 MAM01802m + 4 MAM02040m + 4 MAM02552m + MAM02677m  -> 4 MAM01261m + 3 MAM01803m + 4 MAM02039m + 4 MAM02553m + MAM02644m ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02726,,MAM00183x + MAM02552x  -> MAM00892x + MAM02039x + MAM02553x ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02730,,MAM00892x + MAM01597x  -> MAM01261x + MAM02122x ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02733,,MAM02630x + MAM02644x  -> MAM00059x + MAM02041x ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02739,,MAM00059x + MAM02040x  -> MAM00183x ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02742,palmitoyl-CoA:L-carnitine O-palmitoyltransferase,MAM03135e  <=> ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02746,,MAM02184e  <=> ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02752,,MAM02360e  <=> ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02755,palmitoyl-CoA:L-carnitine O-palmitoyltransferase,MAM02724e  <=> ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02759,,MAM01365c + MAM02658m + MAM02039i  -> MAM01365m + MAM02039m + MAM02658c ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02762,,MAM01991c  -> MAM01991e ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02768,,MAM01991e  -> ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02771,,MAM01442e + MAM02046c  -> MAM01442c + MAM02046e ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (cytosolic),MAR02774,,MAM01597x + MAM02040x + MAM02552x + MAM02630x + MAM03567x  -> MAM01261x + MAM02039x + MAM02041x + MAM02553x + MAM03789x ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Carnitine shuttle (mitochondrial),MAR02598,,MAM01597x + MAM02040x + MAM02552x + MAM02630x + MAM03555x  -> MAM01261x + MAM02039x + MAM02041x + MAM02553x + MAM03567x ,ENSG00000095321 or ENSG00000157184,
Carnitine shuttle (mitochondrial),MAR02600,,MAM00025x + MAM01597x + MAM02040x + MAM02552x + MAM02630x  -> MAM01261x + MAM02039x + MAM02041x + MAM02553x + MAM03555x ,ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208,
Carnitine shuttle (mitochondrial),MAR02601,palmitoyl-CoA:L-carnitine O-palmitoyltransferase,MAM01597x + MAM02040x + MAM02552x + MAM02630x + MAM03789x  -> MAM01191x + MAM01261x + MAM02039x + MAM02041x + MAM02553x ,ENSG00000095321 or ENSG00000157184,
Carnitine shuttle (mitochondrial),MAR02603,,MAM01419e  -> ,ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208,
Carnitine shuttle (mitochondrial),MAR02604,,MAM01371c + MAM01419c + MAM02040c  -> MAM01285c + MAM01419e + MAM02039c + MAM02751c ,ENSG00000095321 or ENSG00000157184,
Carnitine shuttle (mitochondrial),MAR02606,,MAM01371c + MAM01910e + MAM02040c + 2 MAM02519e  -> MAM01285c + MAM01910c + MAM02039c + 2 MAM02519c + MAM02751c ,ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208,
Carnitine shuttle (mitochondrial),MAR02607,,MAM02039m + MAM02480m  -> MAM01596m + MAM02774m ,ENSG00000095321 or ENSG00000157184,
Carnitine shuttle (mitochondrial),MAR02609,,MAM01236c + MAM02039c + MAM02444c  -> MAM00839c + MAM01596c + MAM01597c ,ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208,
Carnitine shuttle (mitochondrial),MAR02610,,MAM00839c + MAM02039c + MAM02555c  -> MAM00699c + MAM02554c ,ENSG00000095321 or ENSG00000157184,
Carnitine shuttle (mitochondrial),MAR02613,,MAM02039c + MAM02555c + MAM03011c  -> MAM00006c + MAM02554c ,ENSG00000095321 or ENSG00000157184,
Carnitine shuttle (mitochondrial),MAR02616,,MAM00699c  -> MAM02040c + MAM03011c ,ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208,
Carnitine shuttle (mitochondrial),MAR02618,,6 MAM01597m + 6 MAM01802m + 6 MAM02040m + 6 MAM02552m + MAM02689m  -> 6 MAM01261m + 6 MAM01803m + 6 MAM02039m + 6 MAM02553m + MAM02774m ,ENSG00000095321 or ENSG00000157184,
Carnitine shuttle (mitochondrial),MAR02621,,MAM02844c  <=> MAM02845c ,ENSG00000149742 or ENSG00000175003 or ENSG00000178537 or ENSG00000197119 or ENSG00000197208,
Carnitine shuttle (mitochondrial),MAR02622,,MAM00095m + 10 MAM01597m + 4 MAM01802m + 10 MAM02040m + 10 MAM02552m  -> 11 MAM01261m + 4 MAM01803m + 10 MAM02039m + 10 MAM02553m ,ENSG00000095321 or ENSG00000157184,
Carnitine shuttle (mitochondrial),MAR02625,,MAM01306e + MAM02519e  -> MAM01306c + MAM02519c ,ENSG00000095321 or ENSG00000157184,
Carnitine shuttle (mitochondrial),MAR02635,,MAM02039c + MAM02355c + MAM02553c  <=> MAM00638c + MAM02552c ,ENSG00000095321 or ENSG00000157184,
